Followers	TimeDiffInMins
326	1282
326	445
0	4153
3	14
3	14
326	81
0	14770
116	160
215	3
215	697
215	697
116	1269
116	5465
116	5465
116	137
116	137
116	137
116	137
215	24
215	24
215	0
215	0
116	386
116	386
116	52
116	52
116	52
20	0
20	0
116	19985
116	19985
116	19985
116	19985
215	9
116	1
116	1
0	5869
0	5869
116	7313
0	2133
215	107
0	532
0	532
215	0
116	234
215	1
215	1
116	3
116	0
0	524
31	7844
0	399
116	7
116	6
116	6
12	22396
12	22396
116	0
116	0
6	1378
6	1378
215	29
0	1279
0	1279
116	89
116	89
215	2718
215	2718
215	2718
11	4
11	4
8	11
215	45
215	45
16	11
16	11
16	11
16	11
215	1130
215	1130
0	149
0	13
0	13
0	13
0	13
0	0
0	0
16	12
16	12
16	12
16	12
16	12
16	12
215	101
215	101
6	23
6	23
42	16
42	16
0	3
0	24
0	24
0	24
0	24
0	24
0	24
0	24
0	24
0	17
0	11
0	206
0	206
0	366
0	1211
0	602
3	719
3	39
3	39
199	5
42	35
42	35
42	35
199	90
199	90
199	90
199	90
326	5
326	5
326	5
42	33
42	33
326	69
326	69
31	1
34	6
34	6
326	277
326	277
2	9
2	9
199	2623
34	0
34	0
34	0
34	0
326	1517
326	1517
326	1517
326	1517
2	1504
2	1504
2	1504
2	1504
42	49
199	1
199	1
34	55
34	55
24	16
24	16
0	24
24	0
24	0
24	0
326	1561
1	33
1	979
31	20
31	20
31	20
31	20
31	20
31	20
31	20
31	20
0	1974
34	2498
34	101
34	101
34	101
45	220
45	220
326	79
326	79
326	79
326	79
326	79
326	79
326	79
326	79
34	1180
34	1180
34	1180
34	1180
34	1180
34	1180
34	1180
34	1180
326	108
326	108
326	108
326	108
34	1099
34	1099
34	1099
34	1099
2	0
2	0
2	2029
326	1925
6	1729
326	1551
34	260
0	14
13	5
13	5
2	0
326	33
199	31
199	969
326	87
0	71
57	8726
1	369
1	32
326	220
0	148
326	7
326	7
326	7
1	581
1	581
1	581
1	480
1	480
1	480
326	37
28	5008
28	5008
28	5008
28	5008
28	5008
28	5008
28	5008
28	5008
28	27
28	27
34	37
34	37
326	51
6	110
326	87
326	87
6	75
6	75
199	358
14	7
6	17
6	13
6	20
6	111
326	75
326	75
3	33
3	33
14	14
14	14
6	3967
6	3967
199	1071
34	0
6	109
14	199
199	10
199	10
326	33
326	33
326	101
326	101
326	101
3	464
3	464
3	464
14	371
199	867
199	867
46	0
14	0
14	0
34	34
34	34
34	34
34	34
326	94
326	94
199	205
199	205
13	1
13	78
4	34351
4	34351
6	1008
326	708
0	969
0	790
6	11
6	11
6	6
6	6
326	3438
326	306
326	793
326	793
14	7
14	7
14	41
199	130
199	130
199	130
14	52
13	98
34	0
42	22
42	22
14	0
34	1289
34	1289
326	65
326	17922
326	17922
14	0
69	0
69	0
34	0
34	5906
34	11
34	11
34	11
34	11
34	11
34	11
34	11
326	24
4	1698
199	0
199	0
199	0
199	0
199	0
199	0
34	22
34	22
34	22
326	1869
326	1869
6	1816
6	1816
13	13
13	13
13	13
13	13
13	6
13	6
13	0
13	0
42	2
199	388
14	57
13	1498
199	38
13	51
11	114
14	532
14	10
14	10
14	10
14	10
199	233
14	4
14	4
47	33
14	0
85	1077
34	41
24	5193
24	5193
31	34
31	278
31	278
31	278
31	21
31	21
85	61
85	61
85	61
85	61
0	57
0	57
0	57
0	57
199	124
199	124
31	1
42	27
42	27
42	18
42	108
42	108
34	2672
34	94
15	600
32	82
24	0
24	0
24	0
85	217
42	97
42	97
6	38
85	5
85	5
85	5
85	5
0	2
42	71
24	8
85	5
24	234
24	234
34	0
34	0
34	0
34	0
34	0
34	0
34	242
34	242
65	0
65	0
65	0
65	0
65	0
65	0
199	188
199	188
199	188
31	10
31	73
31	1393
31	1393
199	7
65	0
65	0
15	54
34	27
34	457
34	457
11	0
11	0
11	0
11	0
11	0
11	0
11	0
11	0
11	0
11	0
4	4
4	4
4	4
4	4
4	4
4	4
31	2683
31	2683
31	2683
42	1
42	1
42	2331
42	2331
42	2331
42	2331
42	2331
31	0
34	2
199	78
199	257
199	257
3	214
3	214
31	2
31	2
31	2
4	13
4	13
4	31
4	31
4	31
4	31
4	31
199	1498
24	13
24	13
24	13
24	13
24	13
24	13
0	139
199	944
199	944
31	456
31	456
9	47
9	47
4	922
4	254
0	29
0	29
0	29
0	105
0	105
0	105
0	105
199	12
42	37
42	37
0	27
0	27
42	107
42	107
42	107
42	107
0	136
0	136
0	136
0	136
24	115
31	110
31	7
199	36
31	0
199	0
199	0
0	1264
16	71
7	0
7	0
463	6
463	6
463	222
0	1096
0	1096
463	0
0	118
24	23
24	23
25	18
6	113
6	113
6	113
6	113
6	113
6	113
199	42
199	42
199	42
199	42
42	0
42	0
72	5
72	5
199	731
199	731
199	0
463	206
199	170
463	9
81	81
463	3482
1	1212
463	802
463	802
463	802
463	802
0	4352
0	4352
0	4352
0	4352
16	97
16	97
15	2476
81	1413
463	1377
463	1377
463	1377
463	1377
463	1377
463	1377
463	1377
463	1377
463	1377
463	1377
463	1377
463	1377
463	1377
463	1377
463	1377
463	1377
16	6
16	6
16	6
16	6
16	6
16	6
16	6
16	6
16	6
16	6
16	6
16	6
16	6
16	6
16	6
16	6
0	6
0	6
0	6
0	6
463	593
463	593
463	593
463	593
0	9
0	9
0	9
0	9
463	13
463	22
463	22
463	342
463	342
463	157
57	0
463	87
0	1379
0	1809
463	658
463	821
463	821
463	821
463	821
463	821
463	821
463	821
463	2
463	2
463	2
463	1143
3	1141
463	63
463	63
463	63
463	63
463	63
463	63
463	63
463	63
463	63
239	42
239	42
239	42
239	42
239	42
239	42
239	42
239	42
239	42
239	0
239	0
239	4749
239	61
239	61
239	672
239	672
239	137
239	10106
239	10106
239	10106
239	10106
239	10106
0	9946
0	9946
0	9946
0	9946
0	9946
239	6
239	94
239	94
239	63
239	0
0	17684
0	1
0	1
0	1
0	48
0	1
0	459
0	359
0	743
18	366
25	5345
25	5345
0	6
0	6
25	85
25	85
274	1775
274	1775
0	1058
0	1058
0	47
25	11
274	0
274	0
46	11541
46	11541
25	26
25	26
82	5519
82	5519
0	22
0	22
274	906
274	906
14	134
14	134
274	9
274	9
274	9
274	2
24	0
274	102
274	217
274	217
274	217
274	217
274	217
274	217
274	42
274	1440
274	4
274	4
274	1617
274	1617
274	1617
274	1617
274	1617
274	1617
274	1083
274	1083
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
24	54
274	2527
274	21
274	21
274	5
274	1244
274	1244
274	4110
274	1
274	4
274	25
274	11
274	11
274	42
274	3953
274	3953
274	79
274	7
274	90
274	26
274	26
326	11269
7	10118
3	90016
3	90016
11	32858
11	9
274	352
274	2
274	2
274	9
6	3648
6	3648
6	3648
6	3648
274	5
274	5
274	5
274	5
274	1195
274	1195
274	12
274	1103
274	1103
274	37
274	37
274	37
274	37
274	37
274	37
274	352
274	304
274	1356
274	1356
274	1136
274	9
274	0
274	0
274	0
274	3059
274	2686
274	2686
274	174
274	57
274	57
274	189
274	84
274	84
274	934
274	5295
274	5295
274	5295
274	5295
274	0
274	9
274	147
274	147
274	6
274	6
274	89
274	5
274	5
274	76
274	76
274	10
274	10
274	10
274	10
274	10
274	10
274	10
274	10
274	10
274	1
274	4
274	5389
274	47
274	111
274	111
274	16598
32	16038
274	33
274	33
274	317
274	317
274	275
274	275
274	0
274	0
274	1118
274	2639
274	2639
274	2639
274	2639
274	113
274	53
274	53
274	2
274	0
274	6
274	6
274	6
274	6
274	0
274	135
274	135
274	135
274	135
274	135
274	135
274	0
274	0
274	0
274	0
274	2
274	2
274	6
274	1854
274	1478
274	1
274	1
274	4
274	4
274	4
274	4
274	4
274	8
274	8
274	8
274	8
274	8
274	8
274	8
274	8
274	8
274	8
274	64
274	64
274	64
274	64
274	990
274	9
274	112
274	112
274	112
274	112
274	112
274	112
274	3977
274	16
274	0
274	0
274	0
274	0
274	25
274	25
274	171
274	8
274	3
274	7
274	38
274	342
274	56
274	214
274	214
274	214
274	214
274	214
274	214
274	1237
274	1
274	54
274	1
163	9
274	9
274	9
274	9
274	64
274	20
274	20
274	20
274	20
274	20
274	20
274	20
274	20
274	20
274	1
274	1
274	1
274	0
274	0
274	495
274	495
274	3
274	132
274	55
274	9
274	49
274	140
274	101
274	101
274	13
274	3
274	82
274	36
274	2
274	1
274	1
274	1
274	1
274	2
274	2
274	44
274	9
274	5330
274	5330
167	13048
167	13048
56	1136
53	4292
69	200
69	200
69	200
69	2926
110	246
110	246
69	9246
69	9
69	3
69	3
69	3
69	3
69	3
69	3
69	3
69	3
69	3
69	3
69	3
69	3
69	3
69	3
69	3
188	381
188	143
188	3
188	3
188	2
188	3
188	236
188	78
188	78
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	6978
188	3266
188	3266
188	3180
1635	11
23	70
0	0
188	1781
1635	1182
1635	1182
0	7
0	7
1635	5
1635	27
1635	16
1635	16
1635	3
1635	3
1635	75
1635	75
1635	1
1635	1
1635	36
21	21451
16	12363
17	297
46	0
46	0
46	0
46	0
46	0
55	1034
130	29
46	3027
184	18
46	7350
46	7350
56	2
130	894
130	108
242	118
242	118
130	19
130	19
56	7
46	0
46	0
46	0
46	0
130	0
130	0
0	1375
0	1375
0	1375
0	31
0	0
0	0
56	7
56	7
46	0
0	1285
130	46194
50	29
56	5
56	7099
56	7099
46	0
0	97
130	49
130	49
56	26
56	11
56	11
46	2637
46	2637
46	2637
46	2637
46	2637
46	2637
46	33
0	7
0	7
0	1569
50	3117
50	35
56	863
130	25
130	25
130	25
130	68
46	20
46	20
46	20
46	20
46	60
46	24
46	24
46	24
46	24
56	2
56	2
56	2
56	2
56	2
56	2
56	18
0	3
46	1
130	6
130	6
196	22
0	9
0	9
0	5495
0	5495
0	1461
46	2713
46	2713
0	3265
0	3265
130	1
46	9664
46	9664
46	9664
0	4178
0	4178
0	73
0	5
0	5
0	4287
0	4287
0	4287
0	417
56	16
46	0
46	0
46	0
46	0
46	0
46	0
56	5
56	5
56	18
56	18
56	15
56	11
0	1603
0	1603
0	1603
56	127
0	196
0	196
0	196
0	196
0	196
0	196
56	843
46	713
0	16
0	16
0	1029
0	1029
56	3
56	3
56	3
46	7
46	7
56	63
0	2
0	34
0	17
0	17
0	17
0	3488
0	3488
0	331
0	6
0	6
0	883
0	720
0	720
0	4129
104	57146
26	7781
26	7781
59695	7684
59695	0
18	110633
18	110633
379	10675
379	10675
0	15328
0	15328
635	96
635	5091
635	5091
635	3
26	4291
23	29957
23	173
1	168
23	771
23	771
26	7
23	1
0	443746
0	6044
0	6044
0	6044
54	3
54	3
16521	2
326	0
125	7610
24	1
1061	5831
1061	4
1061	1777
326	2
326	322
1061	106
1061	106
1061	1
1061	1
1061	159
1061	159
1061	33
1061	6960
1061	8888
326	2054
1061	1
1061	7
1061	12
1061	12
1061	14589
1061	14589
1061	14589
1061	28
1061	28
1061	28
1061	28
1061	10142
1061	22
1061	2
1061	44935
1061	44935
326	0
326	0
0	9458
0	9458
3207	31885
3207	36
326	9585
0	8544
3207	6
3207	0
3207	0
3207	0
3207	11
3207	11
3207	40
3207	0
3207	0
3207	1
3207	25
3207	25
3207	25
3207	218
3207	218
326	3
5	250
5	250
3207	0
3207	23766
8	4726
8	4726
3207	1860
3207	1860
3207	1858
3207	1858
3207	5
3207	5
3207	5
3207	5
3207	6
3207	6
3207	6
3207	6
3207	1283
3207	1279
96	1
96	1
96	1
96	1
0	15521
3207	822
3207	386
3207	386
3207	4
3207	4
3207	2750
3207	246
3207	2
3207	2
3207	2
3207	11
3207	11
3207	4
3207	11
3207	11
3207	11
3207	11
3207	11
3207	11
3207	2559
3207	644
3207	644
3207	139
3207	139
3207	1
3207	0
3207	0
3207	0
3207	0
3207	0
3207	0
3207	6
482	1297
482	1297
206	1309
482	45
482	45
39	2079
286	16
286	16
37	2
482	1239
482	1239
286	415
326	66
326	66
482	117
482	117
286	1540
286	1540
286	1540
286	1540
286	1540
286	1540
482	0
482	0
482	0
482	66
286	1585
286	1585
32	82
32	82
341	8
341	8
341	8
341	8
341	8
341	8
341	8
341	8
341	8
341	8
341	8
341	8
341	8
341	8
341	8
341	8
261	4
261	4
87	1
482	6
482	6
482	1
87	319
87	319
87	319
87	319
482	110
482	110
482	72
464	7047
464	7047
6811	275
6811	275
482	70
482	70
482	70
482	70
482	70
482	70
482	70
482	70
482	70
482	7
482	2577
482	72
482	307
33	11
326	17
326	17
0	33
0	24
3207	2
3207	2
326	16512
326	16512
326	16512
24	1256
24	1256
24	1256
3207	9
3207	9
3207	32
3207	32
3207	9
3207	11
3207	11
3207	0
3207	12821
3207	12821
3207	1123
3207	24
1010	8839
3207	0
3207	0
3207	553
3207	471
3207	471
3207	471
3207	471
3207	471
3207	471
3207	471
3207	471
3207	471
3207	471
3207	471
3207	471
3207	2233
3207	9
3207	9
3207	3
3207	20
3207	20
3207	6
3207	6
3207	0
3207	41
3207	41
3207	41
3207	41
3207	21
3207	209
3207	209
3207	209
3207	209
3207	209
3207	209
3207	209
3207	209
3207	209
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
326	0
31	150
238	0
326	3114
326	3114
1406	0
326	16
1406	15
1406	200
326	168
326	168
326	168
326	0
28	8787
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1309
107	1550
199	3933
199	4573
199	4573
1406	2638
1406	1406
1406	32
1406	32
1406	32
1406	32
1406	32
1406	32
1406	32
1406	32
1406	37
1406	37
1406	37
1406	37
1406	37
1406	37
1406	37
1406	37
404	75
404	0
404	0
1406	10
404	1
404	1
404	1
404	3910
404	1
404	211
404	15
1406	0
1406	0
1406	0
1406	0
404	0
1406	1
1406	1
404	18
1406	111
404	0
404	2
404	2
1406	16
1406	16
1406	16
1406	16
1406	16
1406	16
150	13
150	13
150	0
471	0
471	0
471	0
150	1219
471	0
150	0
471	1
6	0
471	250
471	250
471	250
471	250
471	4
471	4
471	513
471	513
471	513
471	513
150	13
150	13
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
150	71
